start,end,state
2001-08-15 00:00:00,2001-09-14 23:59:59,OK
2001-07-16 00:00:00,2001-08-15 23:59:59,OK
2001-06-16 00:00:00,2001-07-16 23:59:59,OK
2001-05-17 00:00:00,2001-06-16 23:59:59,OK
2001-04-17 00:00:00,2001-05-17 23:59:59,OK
2001-03-18 00:00:00,2001-04-17 23:59:59,OK
2001-02-16 00:00:00,2001-03-18 23:59:59,OK
2001-01-17 00:00:00,2001-02-16 23:59:59,OK
2000-12-18 00:00:00,2001-01-17 23:59:59,OK
2000-11-18 00:00:00,2000-12-18 23:59:59,OK
2000-10-19 00:00:00,2000-11-18 23:59:59,OK
2000-09-19 00:00:00,2000-10-19 23:59:59,OK
2000-08-20 00:00:00,2000-09-19 23:59:59,OK
2000-07-21 00:00:00,2000-08-20 23:59:59,OK
2000-06-21 00:00:00,2000-07-21 23:59:59,OK
2000-05-22 00:00:00,2000-06-21 23:59:59,OK
2000-04-22 00:00:00,2000-05-22 23:59:59,OK
2000-03-23 00:00:00,2000-04-22 23:59:59,OK
2000-02-22 00:00:00,2000-03-23 23:59:59,OK
2000-01-23 00:00:00,2000-02-22 23:59:59,OK
1999-12-24 00:00:00,2000-01-23 23:59:59,OK
1999-11-24 00:00:00,1999-12-24 23:59:59,OK
1999-10-25 00:00:00,1999-11-24 23:59:59,OK
1999-09-25 00:00:00,1999-10-25 23:59:59,OK
1999-08-26 00:00:00,1999-09-25 23:59:59,OK
1999-07-27 00:00:00,1999-08-26 23:59:59,OK
1999-06-27 00:00:00,1999-07-27 23:59:59,OK
1999-05-28 00:00:00,1999-06-27 23:59:59,OK
1999-04-28 00:00:00,1999-05-28 23:59:59,OK
1999-03-29 00:00:00,1999-04-28 23:59:59,OK
1999-02-27 00:00:00,1999-03-29 23:59:59,OK
1999-01-28 00:00:00,1999-02-27 23:59:59,OK
1998-12-29 00:00:00,1999-01-28 23:59:59,OK
1998-11-29 00:00:00,1998-12-29 23:59:59,OK
1998-10-30 00:00:00,1998-11-29 23:59:59,OK
1998-09-30 00:00:00,1998-10-30 23:59:59,OK
1998-08-31 00:00:00,1998-09-30 23:59:59,OK
1998-08-01 00:00:00,1998-08-31 23:59:59,OK
1998-07-02 00:00:00,1998-08-01 23:59:59,OK
1998-06-02 00:00:00,1998-07-02 23:59:59,OK
1998-05-03 00:00:00,1998-06-02 23:59:59,OK

